"duplicate_key","duplicate_count","id","slug","title","company","location","status","source_type","apply_url","created_at","updated_at"
"https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2","93867f3c-09a8-43e5-9ad6-fa9fb7503958","lead-analyst-advanced-provider-data-management-molina-healthcare-ab2b62a93d","Lead Analyst, Advanced Provider Data Management","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2","7a2eeec4-ce40-425c-a51c-f39229907139","lead-analyst-advanced-provider-data-management-molina-healthcare-batch-two","Lead Analyst, Advanced Provider Data Management","Molina Healthcare","United States / Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/tech-product-owner-lead-analyst-advanced-provider-data-management/21726/93930379664","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2","bb58735c-aed0-4bbd-af96-b8627f68c017","epic-professional-billing-analyst-remote-unitedhealth-group-optum-73499e9a78","Epic Professional Billing Analyst - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2","1a8a8fff-f253-45c0-add3-ade9b5607432","epic-professional-billing-analyst-remote-unitedhealth-group-optum-batch-two","Epic Professional Billing Analyst - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/epic-professional-billing-analyst-remote/34088/95012676512","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2","dc5ae61c-0bb8-430a-8f2f-809ef22fdebe","data-engineer-optum-advisory-board-remote-unitedhealth-group-optum-ccfaf8c1f7","Data Engineer - Optum Advisory Board - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2","4df7246c-9999-48de-9305-2bcf29b13286","data-engineer-optum-advisory-board-remote-unitedhealth-group-optum-batch-two","Data Engineer - Optum Advisory Board - Remote","UnitedHealth Group / Optum","Eden Prairie, MN / Remote","approved","imported","https://careers.unitedhealthgroup.com/job/eden-prairie/data-engineer-optum-advisory-board-remote/34088/95009058112","2026-05-12T19:27:09.730511+00:00","2026-05-12T19:27:09.730511+00:00"
"https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2","003f9e3e-b25b-40ee-86e8-067df569f454","senior-analyst-medical-economics-remote-molina-healthcare-39dd318293","Senior Analyst, Medical Economics - Remote","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2","fd8f1d64-d09b-44c8-9331-a7a594f2e1a3","senior-analyst-medical-economics-remote-molina-healthcare","Senior Analyst, Medical Economics - Remote","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/senior-analyst-medical-economics-remote/21726/94487293808","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
"https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2","3c0fe5dd-6c3b-4ba1-9b38-222791c7fb96","program-manager-remote-data-analysis-and-reporting-molina-healthcare-0efe3fb00b","Program Manager - Remote (Data Analysis & Reporting)","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2026-05-13T04:19:04.728661+00:00","2026-05-13T04:19:04.728661+00:00"
"https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2","8d05689b-5dd6-40df-a3d1-43a926a822d5","program-manager-remote-data-analysis-reporting-molina-healthcare","Program Manager - Remote (Data Analysis & Reporting)","Molina Healthcare","Remote","approved","imported","https://careers.molinahealthcare.com/job/united-states/program-manager-remote-data-analysis-and-reporting/21726/94785849712","2026-05-12T18:53:29.852224+00:00","2026-05-12T18:53:29.852224+00:00"
